shape,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
flash,-0.0734026582648584,-0.0023869930876281313,-0.06934993577358597,-0.03932435945697243,-0.06572824156046847,-0.07049865283219932,-0.07586679578409851,0.35712759067224714,0.08295461469980725,-0.0776558298370621,-0.10997648782742685,0.34235084971051466,0.4294450436816969,-0.5694168601416967,0.32321068089781296,-0.16058411110825913,-0.0536234360587276,0.04388939487835315,0.008656938488249815,-0.11128546874130145,0.04274171125623311,0.21320071635561036
formation,-0.04741280145876667,0.11596734438090295,-0.15635541316445686,0.24724491976762714,0.2908477755320996,-0.20654631406019494,0.6593384726109803,0.10452575864919594,0.030497156356480374,-0.045086425838301254,-0.293612343927553,0.2968379311315895,-0.0657573375313932,0.12257064867362367,-0.1730660581357505,0.0039596670054229295,0.1838159362651677,-0.12594737731187608,-0.04824125508960285,0.03000996619250302,0.02979110858594327,0.21320071635561014
light,-0.8100018714896569,0.40952466994627507,0.12406264986785775,-0.07328027844118613,-0.2044796229299803,0.09806459075758989,-0.045194427571593344,0.028691738678520238,0.013560203868724498,0.12840678695832355,0.053382129160277264,0.0017160270570730626,-0.0599923729232108,0.08341241148249796,-0.11935285505572418,-7.088092115340301e-5,0.020390278302579,0.06481175134423453,-0.057839860820141586,-0.0404575274863999,0.04184381047552469,0.21320071635561036
orb,-0.12803333807954578,-0.2528486288232727,-0.22044016169626451,0.5561237561209432,-0.07256353050555489,-0.29757179594054983,-0.42752281752538246,0.2235408822844171,0.12228326219830485,-0.22880637190876324,-0.10394057193493289,-0.1917782056525066,-0.05143400632995085,0.19051626802191485,-0.08509676523148049,0.05579445155213018,0.04036254349147068,0.12951720378168552,-0.07891130249407037,-0.025708928067202277,0.01777705044375838,0.21320071635561028
oval,0.04543069355042316,-0.15114282097677204,-0.06398897870734345,-0.3712037859646012,0.21639188491349917,0.4759228429351667,0.023978749694539975,0.42684041927175526,0.4206876209161997,-0.10544677527882716,-0.1402363263865808,-0.16999970033461165,-0.05969608287080108,0.1596523973031618,-0.09090243448180048,0.2061714633127104,-0.022492748224077413,0.09000048218012902,0.025257776686837645,-0.0648884079281051,0.04140846946914993,0.21320071635561008
rectangle,0.04766851091218502,-0.02540735286433994,-0.15977747621435923,0.05683117153432602,0.07629052568553771,-0.03177237977544599,-0.025846171580263436,-0.2835168833824465,0.4186655215213141,0.3714150414355475,-0.04892262385647766,-0.1883143625831579,-0.4091755737659485,-0.45589545687064986,-0.08940481561295376,-0.2593861932123839,-0.08351819789995,-0.06355411491256258,-0.13583389701923113,-0.05188697338974344,0.034734754419018785,0.21320071635561022
sphere,0.010585338146610574,-0.22915097972603327,0.04777190451316761,0.2593478396199674,0.2779474707600955,0.4781947967853905,-0.2253141670575903,0.012214166430559614,-0.41942582216027646,0.4100554163504789,-0.028682342560209517,0.23387476362319728,0.09859654505367826,0.05326090727006533,-0.17371483252634054,-0.14598591541737926,0.04638659482144033,-0.03986340247200007,-0.0569348757147015,-0.07009549478078056,-0.0036071288630938826,0.21320071635561016
teardrop,0.01844906420629764,0.026700123333371566,-0.04070302573986655,-0.03128135538157789,0.10480352049812147,0.010730962270168334,0.12323611007590175,-0.13753947905966415,-0.046077828178307065,0.11072027178193514,-0.03792531312849668,-0.23943568297347895,0.030117171144368772,0.32905995693130896,0.6922806463194197,-0.27936437693647975,0.21883839357370125,0.2896764849459738,-0.1388598778166263,-0.12040771181307364,0.020894799042111226,0.2132007163556102
triangle,0.49555166059307254,0.7030520172714205,0.2813352194160076,0.21441236827410262,-0.03516673984413772,0.0378198765827499,-0.18723578248386227,0.1610850533484601,0.06492195835678478,0.025759358789459244,-0.01443102597319796,0.010171638217154519,-0.04640773154521735,0.05251079797017356,-0.05262572318614902,0.035917726863658496,-0.018420193407705412,0.07543768313150961,0.007199232632882482,-0.0713893116397115,0.023619461815332064,0.21320071635561016
star,0.012657286586042852,-0.004197130127347623,0.012513151120434883,0.012973923756689949,0.01793266108024164,0.033370206037607805,-0.02180543970153267,0.00765363238682405,-0.0035167740245488394,0.03871848467321542,0.05136232409769197,0.029231498322732627,0.012818667269694415,0.030911117689127375,0.16285828701932442,0.05616211175729419,-0.22741071013067002,-0.03866406471327162,-0.10749869589569801,0.8804084600443702,0.2763821253948019,0.21320071635560983
