word,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
blinking,0.18211108779566643,-0.03207122778604217,0.00452850217832566,0.11910162899462094,-0.08905066377671006,0.048933754291064425,0.1465848135741846,-0.11811952075053955,0.12383519972155706,0.03301262362392636,0.019509923370186255,0.043810636895890966,-0.06741165726896295,0.06785312040148553,0.02207278380085269,-0.08493506206024912,0.01719707407823077,0.13982942708088933,-0.15904068473836075,0.09122019958274404,0.0036852182545287176,-0.04969028487725504,-0.010439471599685893,-0.18222885935490474,0.12237278257395683,0.0537875263863446,0.09843479765073251,-0.052343433073471786,-0.019710674768378827,0.06370113897915702,0.019178669698139014,0.2019941530738554,0.08070388371783627,-0.04872551925507889,0.0986351766031016,-0.14225920460853717,0.06954661362485083,0.01278821064780325,-0.09471381071060928,0.05404333732241909,0.24086566963236425,-0.01213612035210616,0.15623794347841208,-0.0013647988845178042,0.1957198250953425,-0.17186280551224994,0.009705682145596584,-0.04323666988646412,-0.020787109741622307,-0.13215226533058633
blue,-0.17636094035202132,-0.03811936211158116,-0.04033702141931067,-0.04809818461232632,0.13946304523854908,0.004002696219111722,0.03818340390013323,-0.05843963479108733,-0.13410560892007425,0.20348823613238265,-0.05560226329734945,-0.024805539632384375,0.06915762213153806,0.04733589146132726,0.18831543766981462,0.013367169732403171,-0.09695109673461005,-0.04227006949565802,0.06681599741009722,-0.004690197744545892,0.1720402724270558,-0.053361527687319985,0.01580517565766852,0.06337162795865942,0.10702321988261604,0.027049462380641136,0.011447833890099597,-0.11778061280152685,0.060186019502762825,0.1827212862685893,-0.020848045356347863,0.1457403770509099,-0.19108974273616397,0.07831787347973707,-0.044897463287695095,-0.060712754679045834,0.0017323338816633898,0.18441657326088007,-0.15739399943701418,-0.02247848790070025,-0.008002428212140254,0.044736930677756206,-0.08390388117919458,0.03210937612649911,0.07763068822513333,0.17284686827419599,0.040783086710519105,-0.02953220450124517,-0.09968568085328507,0.04841676146614973
bright,-0.1593493459977212,-0.23196083753934663,0.05404109667521315,-0.01642274976115068,0.013331817769724332,0.0913319285628206,0.028182237273525673,-0.027881453246102132,0.08790415188580418,0.04793092986979599,0.0936151235122015,-0.06577786492747377,0.06624629168792177,0.027702563828290973,-0.006350460193265682,0.03841200144688416,-0.037972063699431166,-0.011162316618455298,0.009250413090140547,0.1211809480905331,-0.04069989999822185,-0.0403971359247393,-0.006073768263943945,-0.06367864269458692,0.02539650106989837,-0.08609330223033351,-0.02502970700171721,0.01239785471946661,-0.028286396371041165,0.10110332080007674,-0.05495056810906322,-0.06311311723581205,-0.012849797078031059,0.09106063119651167,0.007249999053698729,0.1287926750401541,0.10141501405891211,-0.08583056430196123,-0.0943855083720948,-0.07883250105483802,0.03504090132648924,0.06895797467476258,0.07050291675139762,0.08229482702979607,-0.02156886906420997,-0.15862272157374954,-0.16014292838954095,0.09056434378249453,0.08484192304820704,-0.12794418844169747
circle,0.14148477332289913,0.05689319208311331,0.04610043181761873,-0.1251006485469467,0.023607340047521897,-0.0015312412704365063,0.005050266985647113,-0.08609302973699996,-0.1253435258368767,0.02487872655162051,-0.028434129738502265,-0.058931140675599514,0.1781663550252471,-0.06993662753865004,0.19662536334528788,0.017157045716545992,-0.05805913760026422,-0.035434885925514636,-0.11004499408515644,0.22584742788812381,-0.05489394542256732,-0.058536086962371496,0.06787128165271103,0.06811033590890687,-0.004188488713894352,0.2706157864055843,0.24376518161837246,-0.14917453297786637,0.06085546316039361,0.04923132124484655,0.05161179566510448,-0.014123166918754737,0.2048029975180788,0.07875891029677225,-0.03116054682137873,0.16863608626709886,-0.01593546453949826,0.08949865692555997,0.028474672500487432,0.06803866273485229,-0.11341140953557939,0.14762515561417122,0.2293095211940491,-0.11156497924416443,0.06099356769395744,0.05787890659990465,0.03959751200414494,0.2518615701956543,0.037358931646057435,0.005843641313997143
circular,0.07406734622502109,0.010304014278581998,0.14547817044935898,-0.20593553375443252,-0.03478178161898915,-0.09459384795791073,0.13417083631148324,-0.06198795045975346,0.1148065121331632,0.011775820562336333,-0.053651094675029015,-0.02531450141715362,-0.06611372090543233,0.0086574595944832,0.05614817165442124,0.11123045630272553,-0.049866667039115894,0.0923600986365722,-0.03356043375897563,-0.15631322042458287,0.006702713948065942,0.018185375034058357,0.1222676265776867,0.1367563042163674,0.06360999484275533,-0.21630962355451405,-0.1191264300785673,0.002500520621066323,0.16082294416314877,-0.034108238293307176,0.051498394812078706,-0.037675697861527475,-0.0249833684432682,-0.05654590344855604,-0.26799994553164735,0.04603720792267392,-0.11101378462145253,-0.05585327832970744,-0.11052042437323863,0.19988871201314784,0.08527623987019432,0.03341177245305915,-0.046643118774900884,0.05594630071768398,-0.016870601876543132,-0.005331537830190101,-0.07354931239052989,0.07842632509214145,0.15470783017370793,0.022338096065853248
color,-0.06016856888104435,-0.005763482448742792,0.02951543140796442,0.06262355360855187,-0.03554098194059678,-0.2253006483177228,-0.026370642535933794,0.1208575602035989,-0.08107743768134308,-0.065879759110644,-0.06265453285887818,0.1494825947850709,-0.05042747497048345,0.12586176846959982,0.17462933620833526,-0.10566814349506162,-0.09879939536147236,0.05991122448773676,0.1265579606848673,0.21052212822542554,-0.007660187883520162,0.13644596284172467,-0.20031640966102696,0.05007432768215388,-0.002213203807697591,0.053372150030411764,-0.1291079105123728,0.11684746347770097,-0.11263827387437761,-0.11525809155315066,-0.014122593636185453,0.040974545258129054,-0.1125241929089408,0.06111869106241089,-0.13650517723630023,0.19985660260564347,-0.16116755223780466,-0.031034197475503674,-0.0283243042918044,-0.1254684145262841,0.09730958591572701,0.0035499310133328176,0.06668388671614163,-0.22894400443748666,0.11684663013528172,-0.1677755816990259,0.055853607020295994,-0.032371530826043285,0.08133943005380424,0.1671009275087536
craft,0.1298956019164658,0.21574562761952434,0.0011624005077030374,-0.08271712428817424,-0.06023835258738462,0.0867409201264708,-0.051003887052188675,-0.0209496711888828,0.07649868925843749,0.09632592274506852,0.14730186656070568,0.07625949141635394,-0.08409087110039054,-0.013179563224263158,-0.08109460064147028,-0.06347740363679669,-0.04943258752635697,-0.0828495862793479,-0.05697817161626561,-0.06706112435445372,-0.06215322071407306,0.07908592269575729,0.03551814778139136,-0.022903427961002316,-0.05324953290704426,0.04015665137603161,0.019552302778598315,-5.028567389183798e-4,-0.008973749534262715,-0.025000954086045298,-0.04427032361833765,0.038137820194650424,0.009704411190804015,-0.21224723229642045,-0.07042735731394321,0.055618991947320034,0.09452812557453522,0.18800319025347897,-0.0756233539033618,0.017561535101060198,-0.05466609374592701,-0.11944118423072411,0.0920125516231779,-0.04630951902161633,-0.061420701714257675,0.0968790621936591,-0.08979118268362495,-0.23224511765303105,-0.03902142899834789,0.17974191702224246
direction,-0.055227103779686045,-0.056295108050699275,0.03185529658874677,0.14489167827352475,-4.0239477826684136e-4,-0.03999078730595754,0.14622684646755643,0.05070836733898098,0.06180215923468277,-0.029130907500395858,-0.019218103026255002,0.07122879182019513,0.303698334852696,-0.028321552998384354,-0.12124598625996613,-0.07262488643665556,-0.17033633334475434,-0.053999752293798116,0.07102375500192372,-0.15224655885935995,0.0868721160671359,0.12362686457545304,0.07471856891131473,0.08145539721851537,-0.24271945541632955,0.18503017677531816,-0.1385545357116112,-0.008796348209982104,0.04206979938106361,0.07312131450915202,0.03747698284947655,-0.006583221794808564,-0.2342499220336663,0.06461472812739495,0.10842191939713067,0.06002029380199971,-0.08745724739972084,0.1386103220754605,-0.10409569575661264,0.11199544741802056,0.0593619144160006,0.00397597702599284,0.12738255283621924,-0.010954331390526578,0.12584475764282177,0.029009403435867127,0.091201625960326,0.011935333306161085,-0.09910577614695251,-0.02457934976779959
disappeared,0.14931162292224112,-0.10520865011648535,0.0745468849564203,-0.07793420138492213,-0.10578000579570035,-0.1318616031947514,-0.0230248460633844,0.013091090246437823,-0.038877823820689335,-0.04081402537970336,0.0741588200375224,-0.20651730104069896,-0.06032306639706513,-0.11989659661446755,0.15320709226098467,0.08517693369526645,-0.03873051272741525,0.06717944503539619,-0.037451527372751627,-0.033333518301502316,-0.1113801990417018,-0.12008491295753185,-0.018199440284992024,0.07229232936984065,-0.16044129742384683,-0.07197274671298291,0.028991182052437572,0.11975558312301134,-0.022494599765567697,-0.022000654808236438,-0.015571340530820488,-0.23119606198129877,0.06818724772209575,0.03243882273621087,0.028728654370298878,-0.10230092534028465,0.08965262738031463,0.0776704607901377,-0.024030010832943368,-0.07671316205757923,0.06736459503818781,-0.04112519904736644,0.03678382500860123,0.08556807203096413,0.09706862658521316,-0.1370632830536677,0.1957478288082603,-0.18486359978100042,-0.13216277381208483,-0.050429888075222265
driving,-0.04960530531204784,0.07548200297563402,0.1374861572089603,0.053540027039420325,-0.17783912072650165,0.11713171891619313,-0.05686399091439016,-0.03011457610479972,0.13528984649375778,-0.049295649407920535,-0.036984436385457245,0.1960469056434252,0.1410700301218087,0.05497912198739538,-0.016321666068586545,0.11891173581093553,0.04467564840878766,0.11768945437260409,0.029947548700145207,0.08386450338875936,-0.13831587968186113,-0.06814426631624124,0.1296992567994781,-0.0792398657564625,0.016954654193307175,0.010445677083213973,-0.07291206765726184,-0.03957014076228171,0.01656774395202475,0.06547925768875089,0.08421920782137313,0.04741472077928614,-0.07809974122180124,0.2405833244415711,-0.05483189311030043,-0.18166263637382005,0.13680447567163387,0.02705906830967021,0.1377748664537953,-0.04412353132051539,0.16943408553913988,-0.10471423887071986,-0.034915014831774366,0.13713578950947541,0.025827457390023054,0.12663090260809481,0.08013391664949938,-0.025779539130296535,-0.03133435137222859,0.07545867260965906
